(Time, ID): (11.050000000000, 24coco) | (M, Li): (0.2574786510E+01, -0.769102969393134E+01) | Ra/Lat: (298.91498021, -12.10917075) T
(Time, ID): (11.050000000000, 27coco) | (M, Li): (0.1011149713E+01, -0.386795375831425E+02) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 6coyq) | (M, Li): (0.1009761774E+01, -0.161754928864539E+02) | Ra/Lat: (130.18893138, -45.32195192) F
(Time, ID): (11.050000000000, 10coyq) | (M, Li): (0.2137624724E+01, -0.123697152175009E+02) | Ra/Lat: (130.18893138, -45.32195192) T
(Time, ID): (11.050000000000, 16coyq) | (M, Li): (0.2434846302E+01, -0.865644044801593E+01) | Ra/Lat: (130.18893138, -45.32195192) F
(Time, ID): (11.050000000000, 17coyq) | (M, Li): (0.1177331520E+01, -0.143997961059213E+02) | Ra/Lat: (130.18893138, -45.32195192) F
(Time, ID): (11.050000000000, 21coyq) | (M, Li): (0.1512746528E+01, -0.920160961151123E+01) | Ra/Lat: (130.18893138, -45.32195192) T
(Time, ID): (11.050000000000, 24coyq) | (M, Li): (0.2250576972E+01, -0.134227443486452E+02) | Ra/Lat: (130.18893138, -45.32195192) T
(Time, ID): (11.050000000000, 25coyq) | (M, Li): (0.1369346016E+01, -0.880985835939646E+01) | Ra/Lat: (130.18893138, -45.32195192) F
(Time, ID): (11.050000000000, 30coyq) | (M, Li): (0.1120356055E+01, -0.117128406204283E+02) | Ra/Lat: (130.18893138, -45.32195192) F
(Time, ID): (11.050000000000, 9dubo) | (M, Li): (0.1415405138E+01, -0.223085196688771E+01) | Ra/Lat: (106.21483210, 50.06950998) F
(Time, ID): (11.050000000000, 14dubo) | (M, Li): (0.1379965513E+01, -0.151521265879273E+01) | Ra/Lat: (106.21483210, 50.06950998) F
(Time, ID): (11.050000000000, 15dubo) | (M, Li): (0.1096762855E+01, 0.220705833286047E+00) | Ra/Lat: (106.21483210, 50.06950998) F
(Time, ID): (11.050000000000, 18dubo) | (M, Li): (0.1126099524E+01, -0.145229466259480E+00) | Ra/Lat: (106.21483210, 50.06950998) F
(Time, ID): (11.050000000000, 21dubo) | (M, Li): (0.2024220946E+01, -0.259547983109951E+01) | Ra/Lat: (106.21483210, 50.06950998) F
(Time, ID): (11.050000000000, 1dum1) | (M, Li): (0.1037036811E+01, -0.373551787436008E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 2dum1) | (M, Li): (0.1641884563E+01, -0.906303146481514E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 4dum1) | (M, Li): (0.1794146063E+01, -0.656155133992434E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 6dum1) | (M, Li): (0.2169451631E+01, -0.900728655233979E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 13dum1) | (M, Li): (0.1124953126E+01, -0.875992850959301E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 16dum1) | (M, Li): (0.1435731922E+01, -0.457335760444403E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 17dum1) | (M, Li): (0.2655860259E+01, -0.669171516597271E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 20dum1) | (M, Li): (0.2015129354E+01, -0.450056585296988E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 24dum1) | (M, Li): (0.1705968056E+01, -0.902479270845652E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 25dum1) | (M, Li): (0.2122451909E+01, -0.868570038303733E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 27dum1) | (M, Li): (0.2528266756E+01, -0.627619579061866E+01) | Ra/Lat: (342.08294536, -66.52479004) F
(Time, ID): (11.050000000000, 6eisl) | (M, Li): (0.1340074456E+01, -0.123121419511735E+02) | Ra/Lat: (92.69772078, -26.99226077) F
(Time, ID): (11.050000000000, 14eisl) | (M, Li): (0.1810156614E+01, -0.689617007225752E+01) | Ra/Lat: (92.69772078, -26.99226077) F
(Time, ID): (11.050000000000, 16eisl) | (M, Li): (0.1673294711E+01, -0.821096888557076E+01) | Ra/Lat: (92.69772078, -26.99226077) F
(Time, ID): (11.050000000000, 21eisl) | (M, Li): (0.1439964873E+01, -0.326516406610608E+01) | Ra/Lat: (92.69772078, -26.99226077) F
(Time, ID): (11.050000000000, 25eisl) | (M, Li): (0.1057873268E+01, -0.979439176246524E+01) | Ra/Lat: (92.69772078, -26.99226077) F
(Time, ID): (11.050000000000, 30eisl) | (M, Li): (0.1850186037E+01, -0.742971583455801E+01) | Ra/Lat: (92.69772078, -26.99226077) F
(Time, ID): (11.050000000000, 17fort) | (M, Li): (0.1441028156E+01, -0.329210727661848E+01) | Ra/Lat: (163.65539974, -3.85156693) F
(Time, ID): (11.050000000000, 21fort) | (M, Li): (0.1391323139E+01, -0.480100804939866E+01) | Ra/Lat: (163.65539974, -3.85156693) F
(Time, ID): (11.050000000000, 30fort) | (M, Li): (0.1221773985E+01, -0.682199452444911E+01) | Ra/Lat: (163.65539974, -3.85156693) F
(Time, ID): (11.050000000000, 9freo) | (M, Li): (0.1272946023E+01, 0.752828944474459E+00) | Ra/Lat: (120.82317279, 40.01204215) F
(Time, ID): (11.050000000000, 14freo) | (M, Li): (0.1513296201E+01, 0.327979098632932E+01) | Ra/Lat: (120.82317279, 40.01204215) F
(Time, ID): (11.050000000000, 15freo) | (M, Li): (0.1082369416E+01, 0.242576281353831E+01) | Ra/Lat: (120.82317279, 40.01204215) F
(Time, ID): (11.050000000000, 18freo) | (M, Li): (0.1049908118E+01, 0.324165859445930E+01) | Ra/Lat: (120.82317279, 40.01204215) F
(Time, ID): (11.050000000000, 21freo) | (M, Li): (0.1544335638E+01, 0.333659015968442E+01) | Ra/Lat: (120.82317279, 40.01204215) F
(Time, ID): (11.050000000000, 7glsv) | (M, Li): (0.1262854716E+01, -0.112801854014397E+02) | Ra/Lat: (232.57774351, 50.17501111) T
(Time, ID): (11.050000000000, 8glsv) | (M, Li): (0.2020573379E+01, -0.140420160554349E+02) | Ra/Lat: (232.57774351, 50.17501111) T
(Time, ID): (11.050000000000, 9glsv) | (M, Li): (0.1581922494E+01, -0.116552635394037E+02) | Ra/Lat: (232.57774351, 50.17501111) T
(Time, ID): (11.050000000000, 26glsv) | (M, Li): (0.1102547180E+01, -0.904235861450434E+01) | Ra/Lat: (232.57774351, 50.17501111) T
(Time, ID): (11.050000000000, 28glsv) | (M, Li): (0.1203186634E+01, -0.869087858498096E+01) | Ra/Lat: (232.57774351, 50.17501111) T
(Time, ID): (11.050000000000, 29glsv) | (M, Li): (0.1204303197E+01, -0.101056734435260E+02) | Ra/Lat: (232.57774351, 50.17501111) T
(Time, ID): (11.050000000000, 9grnr) | (M, Li): (0.2163861824E+01, -0.408363237231970E+01) | Ra/Lat: (53.10267417, 63.68315270) F
(Time, ID): (11.050000000000, 11grnr) | (M, Li): (0.1700470230E+01, -0.387771266698837E+01) | Ra/Lat: (53.10267417, 63.68315270) F
(Time, ID): (11.050000000000, 14grnr) | (M, Li): (0.1593408613E+01, -0.341700049489737E+01) | Ra/Lat: (53.10267417, 63.68315270) F
